City,Latitude,Longitude
MILPITAS,37.4282724,-121.9066238
GILROY,37.0065078,-121.5631723
MORGAN HILL,37.130408,-121.6544974
MONTE SERENO,37.236333,-121.992458
SARATOGA,37.2638324,-122.0230146
CAMPBELL,37.2870626,-121.9448818
CUPERTINO,37.3228934,-122.0322895
MOUNTAIN VIEW,37.3893889,-122.0832101
SAN JOSE,37.3361905,-121.8905833
LOS ALTOS HILLS,37.3796627,-122.1374637
LOS ALTOS,37.3790629,-122.116578
SANTA CLARA,37.3541132,-121.9551744
SUNNYVALE,37.3688301,-122.0363496
PALO ALTO,37.4443293,-122.1598465
LOS GATOS,37.226611,-121.9746797
