OBJECTID,NAME,Population,African American,Asian/Pacific Islander,Latino,White,Other,Foreign-born,Other Language,Hosehold Size (Ave)
1,Milpitas,66790,3,62,17,15,3,51,65,3.38
2,Gilroy,48821,2,7,58,31,2,25,47,3.34
3,Morgan Hill,37882,2,10,34,50,4,19,30,3.04
4,Monte Sereno,3341,0,14,5,77,4,13,13,2.84
5,Saratoga,29926,0,41,4,52,3,38,44,2.76
6,Campbell,39349,3,16,18,58,5,23,30,2.42
7,Cupertino,58302,1,63,4,29,3,50,63,2.84
8,Los Altos Hills,7922,1,27,3,66,3,34,35,2.85
9,Los Altos,28976,1,24,4,68,3,23,26,2.61
10,Santa Clara,116468,3,38,19,36,4,41,52,2.69
11,Sunnyvale,140081,2,41,19,35,3,45,55,2.6
12,Mountain View,74066,2,26,22,46,4,37,45,2.36
13,Palo Alto,64403,2,27,6,61,4,32,39,2.44
14,Los Gatos,29413,1,11,7,77,4,18,20,2.39
15,San Jose,945942,3,32,33,29,3,39,56,3.1
